error,time_centr,times,alpha,dijkstra_time,R_number,speed_up,nodes,edges,sparsity,k,name_city,node_group,node_group_gap,density,average_clustering,avg number of points in cluster,diameter,average degrees,modularity
13.374276138283006,0.1967461109161377,3.0655760765075684,0.445,5.186761140823364,6722171,1.691936853425715,871,1280,1.4695752009184846,2.2471910112359548,Кобрын,4,"(849.0, 1008.0]",0.0033783337952149,0.0623804056639878,2.2471910112359548,48,2.939150401836969,0.3932440185546876
2.379460222035575,0.2703132629394531,4.575138807296753,0.803,5.186761140823364,6722171,1.1336838857328553,871,1280,1.4695752009184846,1.2453300124533,Кобрын,4,"(849.0, 1008.0]",0.0033783337952149,0.0623804056639878,1.2453300124533,48,2.939150401836969,0.13825958251953102
4.579021160603342,0.2120912075042724,6.978744745254517,0.012,3.49774432182312,6722368,0.5011996353931063,605,899,1.4859504132231405,83.33333333333334,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,83.33333333333334,43,2.971900826446281,0.777919725414841
4.771473608545988,0.1357603073120117,5.454038381576538,0.021,3.49774432182312,6722368,0.6413127442663992,605,899,1.4859504132231405,47.61904761904762,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,47.61904761904762,43,2.971900826446281,0.8476944472971452
14.011284625638009,0.0821080207824707,3.6702523231506334,0.035,3.49774432182312,6722368,0.952998326507582,605,899,1.4859504132231405,28.57142857142857,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,28.57142857142857,43,2.971900826446281,0.848701003834442
14.132533265643232,0.0686728954315185,2.9744131565093994,0.061,3.49774432182312,6722368,1.1759443418841895,605,899,1.4859504132231405,16.39344262295082,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,16.39344262295082,43,2.971900826446281,0.8187728052798748
21.54663929122581,0.062483787536621,2.465798854827881,0.114,3.49774432182312,6722368,1.4185035064700249,605,899,1.4859504132231405,8.771929824561404,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,8.771929824561404,43,2.971900826446281,0.7615815867587394
16.83976044620187,0.0687093734741211,2.241083860397339,0.192,3.49774432182312,6722368,1.5607378124631972,605,899,1.4859504132231405,5.208333333333334,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,5.208333333333334,43,2.971900826446281,0.6662018483025878
20.033873142669645,0.0846226215362548,2.3621621131896973,0.316,3.49774432182312,6722368,1.4807384735758091,605,899,1.4859504132231405,3.1645569620253164,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,3.1645569620253164,43,2.971900826446281,0.5246077399062855
11.718617807253423,0.111283540725708,2.691322565078736,0.531,3.49774432182312,6722368,1.299637719836378,605,899,1.4859504132231405,1.8832391713747647,Ваўкавыск,2,"(586.0, 742.0]",0.0049203656066991,0.0789531680440772,1.8832391713747647,43,2.971900826446281,0.3412158609058886
10.68185669731729,0.2907247543334961,8.097785472869873,0.012,5.957794189453125,6722458,0.7357312946130282,861,1235,1.4343786295005807,83.33333333333333,Слонім,4,"(849.0, 1008.0]",0.0033357642546525,0.05954316686024,83.33333333333333,58,2.8687572590011614,0.8084653083971217
6.891011851525429,0.2299928665161132,7.207448005676269,0.019,5.957794189453125,6722458,0.8266163258841449,861,1235,1.4343786295005807,52.631578947368425,Слонім,4,"(849.0, 1008.0]",0.0033357642546525,0.05954316686024,52.631578947368425,58,2.8687572590011614,0.8575154485403793
6.239093647767327,0.1366364955902099,5.776103258132935,0.035,5.957794189453125,6722458,1.031455623835042,861,1235,1.4343786295005807,28.57142857142857,Слонім,4,"(849.0, 1008.0]",0.0033357642546525,0.05954316686024,28.57142857142857,58,2.8687572590011614,0.8644757330885606
10.60861795521676,0.0991477966308593,4.365200042724609,0.059,5.957794189453125,6722458,1.3648387544994325,861,1235,1.4343786295005807,16.949152542372882,Слонім,4,"(849.0, 1008.0]",0.0033357642546525,0.05954316686024,16.949152542372882,58,2.8687572590011614,0.8427140257994726
11.105040818558386,0.0881555080413818,3.5836737155914307,0.096,5.957794189453125,6722458,1.6624823190606464,861,1235,1.4343786295005807,10.416666666666666,Слонім,4,"(849.0, 1008.0]",0.0033357642546525,0.05954316686024,10.416666666666666,58,2.8687572590011614,0.7829212083463098
12.25852493829151,0.1013650894165039,3.065699338912964,0.165,5.957794189453125,6722458,1.9433719784033487,861,1235,1.4343786295005807,6.0606060606060606,Слонім,4,"(849.0, 1008.0]",0.0033357642546525,0.05954316686024,6.0606060606060606,58,2.8687572590011614,0.6917385959448612
