,Широта,Долгота
825,56.248596,43.868714
826,56.24811,43.936424
827,56.365669,43.822368
828,56.32031,43.945947
829,56.360697,43.862304
830,56.3335,43.868815
831,56.244951,44.06868
832,56.319759,44.001335
833,56.299168,43.984887
834,56.32307,44.002361
835,56.287296,43.928648
836,56.307058,44.081874
837,56.354776,44.066577
838,56.353983,44.099191
839,56.343135,43.836091
840,56.295619,44.036376
841,56.310367,43.933937
842,56.310624,44.033295
843,56.309089,44.017238
844,56.308662,43.987013
845,56.310297,43.948127
846,56.31685,43.942254
847,56.358144,44.053205
848,56.331069,43.846138
849,56.289014,43.934961
850,56.286094,43.89008
851,56.235167,43.834788
852,56.309064,43.933988
853,56.27801,43.977821
854,56.327602,44.0015
855,56.361416,43.863883
856,56.249884,43.852431
857,56.305967,43.997206
858,56.244676,43.864667
859,56.209085,43.824643
860,56.32174,43.879248
861,56.322083,43.946497
862,56.236842,43.962758
863,56.312358,44.000377
864,56.324567,44.005258
865,56.323095,44.006881
866,56.225525,44.071955
867,56.235179,43.955754
868,56.334462,43.854628
869,56.309087,43.987136
870,56.320125,43.945888
871,56.285949,43.980172
872,56.331741,44.034238
873,56.324635,44.001829
874,56.290407,44.073961
875,56.317145,43.998729
876,56.320376,43.94635
877,56.30765,44.074236
878,56.339281,43.888839
879,56.363107,44.06605
880,56.252819,44.097876
881,56.225422,44.071153
882,56.252012,43.863442
883,56.304321,44.020553
884,56.358114,44.067244
885,56.334747,44.123771
886,56.26229,43.942687
887,56.231826,44.098163
888,56.224498,43.85689
889,56.315631,44.069037
890,56.281292,43.995627
891,56.239364,43.865142
892,56.297727,43.93785
893,56.288835,43.926154
894,56.331339,43.854729
895,56.309681,43.901066
896,56.225858,44.070855
897,56.320684,43.947384
898,56.291055,43.995946
899,56.326223,44.026359
900,56.346297,43.805531
901,56.364867,43.815912
902,56.286426,43.927621
903,56.306967,44.061126
904,56.28976,43.887987
905,56.359417,43.825227
906,56.323117,44.00221
907,56.296682,43.942351
908,56.370203,43.799494
909,56.341571,43.828249
910,56.322362,43.992095
911,56.290422,43.994332
912,56.359252,43.854106
913,56.320364,43.945964
914,56.35433,44.064471
915,56.317507,43.944997
916,56.307122,43.87182
917,56.245703,43.967446
918,56.294886,43.975233
919,56.36338,43.853434
920,56.261492,43.897796
921,56.287032,43.925586
922,56.301934,43.938907
923,56.355035,44.090587
924,56.257512,43.854419
925,56.317368,43.994971
926,56.349797,43.866342
927,56.272214,44.046038
928,56.32725,44.020643
929,56.286903,43.852479
930,56.218816,43.843643
931,56.252544,43.938759
932,56.270529,43.88588
933,56.306014,43.936503
934,56.389419,43.736868
935,56.366522,43.828108
936,56.296683,43.942458
937,56.290655,44.073407
938,56.226026,44.071414
939,56.307451,44.054737
940,56.326663,43.876445
941,56.325557,44.00572
942,56.304367,43.937446
943,56.376294,44.030619
944,56.303562,43.983701
945,56.293275,43.978444
946,56.361959,43.863837
947,56.317338,44.060736
948,56.308848,43.874234
949,56.317968,44.055431
950,56.323117,44.00221
951,56.296268,43.929761
952,56.277735,43.92144
953,56.239759,43.868471
954,56.267336,43.877204
955,56.299364,44.043245
956,56.317882,44.055421
957,56.318794,43.945646
958,56.358623,43.82345
959,56.218524,43.839928
960,56.26353,43.874354
961,56.31777,44.017416
962,56.275019,43.946967
963,56.284976,43.993621
964,56.355981,44.078108
965,56.223921,43.8358
966,56.225535,44.071782
967,56.288892,44.053428
968,56.339843,43.95658
969,56.309619,43.989908
970,56.306509,44.07812
971,56.273555,44.085804
972,56.249571,43.877412
973,56.287576,43.928725
974,56.306297,43.93605
975,56.308469,43.986995
976,56.334232,43.960055
977,56.287137,43.927953
978,56.351235,44.078005
979,56.31209,43.994271
980,56.256671,43.978611
981,56.3242,44.025585
982,56.325013,43.868396
983,56.316148,43.944565
984,56.329929,44.023352
985,56.257218,43.854955
986,56.338001,43.955932
987,56.309538,43.994586
988,56.331713,43.858286
989,56.261527,43.878001
990,56.248197,44.043089
991,56.343193,43.86337
992,56.363221,44.054216
993,56.286229,44.078753
994,56.299607,43.98265
995,56.240725,43.990907
996,56.276257,44.04548
997,56.334989,43.854279
998,56.320492,43.947555
999,56.266429,43.909217
1000,56.310213,44.066186
1001,56.220114,43.832947
1002,56.326535,43.913907
1003,56.288628,43.995492
1004,56.287562,43.928082
1005,56.354418,43.864177
1006,56.293292,44.034228
1007,56.326798,43.940716
1008,56.259552,43.857589
1009,56.292203,44.073478
1010,56.273807,43.993403
1011,56.294215,43.878593
1012,56.328534,44.019731
1013,56.22332,44.08659
1014,56.29542,43.883804
1015,56.3627,43.862732
1016,56.319363,43.947751
1017,56.290655,44.073587
1018,56.34956,43.866926
1019,56.29043,43.999106
1020,56.324883,43.947311
1021,56.177908,44.177221
1022,56.343748,43.804054
1023,56.305623,43.871128
1024,56.288761,43.927399
1025,56.289943,43.930204
1026,56.318579,43.910696
1027,56.29065,43.997015
1028,56.207088,43.877932
1029,56.335888,43.832946
1030,56.337915,44.102506
1031,56.290165,43.887538
1032,56.326504,44.00149
1033,56.305324,43.990507
1034,56.321313,43.949378
1035,56.353632,43.802739
1036,56.26411,43.89482
1037,56.293437,43.94824
1038,56.33887,43.933089
1039,56.328742,43.855598
1040,56.308415,43.975379
1041,56.340383,43.941257
1042,56.378943,43.797153
1043,56.289308,43.888051
1044,56.295818,44.038693
1045,56.306347,44.078786
1046,56.317314,43.944996
1047,56.318331,43.925676
1048,56.31703,43.942508
1049,56.253112,43.858408
1050,56.359206,44.050877
1051,56.253628,43.970597
1052,56.31521,44.069481
1053,56.35899,44.054058
1054,56.293321,43.851217
1055,56.237511,43.85467
1056,56.359207,44.052223
1057,56.198729,44.096422
1058,,
1059,56.358831,44.051697
1060,56.319991,43.946232
1061,56.340114,43.91531
1062,56.323674,43.951046
1063,56.225517,44.07166
1064,56.330446,43.908881
1065,56.151756,44.208129
1066,56.281904,43.94908
1067,56.296282,43.92968
1068,56.258338,43.924619
1069,56.323947,43.952823
1070,56.292321,44.006097
1071,56.2911,44.000384
1072,56.309032,43.98729
1073,56.257146,43.864149
1074,56.225416,44.071316
1075,56.250616,43.852066
1076,56.330242,43.856809
1077,56.359374,43.825054
1078,56.296454,43.940259
1079,56.326596,43.981436
1080,56.349102,43.867577
1081,56.339418,43.884934
1082,56.286364,43.916838
1083,56.291281,44.06906
1084,56.285182,44.073268
1085,56.249109,43.982473
1086,56.320001,43.946129
1087,56.294886,43.975233
1088,56.220681,43.855955
1089,56.279139,43.941097
1090,56.338256,43.856665
1091,56.310725,43.865611
1092,56.261103,43.927007
1093,56.289329,44.001024
1094,56.269057,43.888654
1095,56.153594,44.21152
1096,56.282626,43.978498
1097,56.148644,44.203183
1098,56.362423,43.797056
1099,56.325816,43.944064
1100,56.328357,43.856835
1101,56.337853,44.102379
1102,56.285922,43.980372
1103,56.338416,43.922283
1104,56.334592,43.974872
1105,56.282546,43.979771
1106,56.308099,43.715242
1107,56.292644,43.83843
1108,56.338755,43.86168
1109,56.36436,43.816205
1110,56.268935,43.922904
1111,56.342712,43.945908
1112,56.33844,44.100638
1113,56.406769,44.00837
1114,56.151359,44.208786
1115,56.282098,43.897101
1116,56.359002,43.805622
1117,56.309943,44.078237
1118,56.234707,43.871065
1119,56.292993,43.33773
1120,56.341491,43.818716
1121,56.33771,43.88354
1122,56.315596,43.912276
1123,56.334627,43.853276
1124,56.32914,43.853581
1125,56.287912,44.067547
1126,56.292963,43.940011
1127,56.417334,44.000979
1128,56.323735,44.055172
1129,56.316079,43.95211
1130,56.2977,44.188674
1131,56.287585,43.988444
1132,56.250358,43.851072
1133,56.315857,44.001683
1134,56.293228,44.075971
1135,56.244371,43.967656
